项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
出版,600034,专属定制：2017最美台历中华书局《古都之美：北京的巷陌民风》,已成功,480000,487060,16589,1,2.00,15,0,0,否,0,10011,项目成功结束后立即发货,北京,已经结束
出版,580153,《永远20》，我们的NBA，我们的青春集结令,已成功,30000,1054413,14434,4,5.00,19,6,2374,是,117,2895,项目成功结束后60天内,北京,已经结束
出版,619510,吴晓波频道经典重译计划第二季,已成功,300000,716868,6955,3,1.00,8,4,734,否,171,800,项目成功结束后30天内,浙江 杭州,已经结束
出版,567112,《远方不远》：穿越大漠去中东，一个游侠骑士的两万里西行,已成功,100000,516681,6520,4,48.00,24,3,1540,否,1204,1964,项目成功结束后90天内,北京,已经结束
出版,131239,时代很伟大，我们去拥抱！《连接》：深度解析大数据、移动互联时代商业智慧密码,已成功,300000,300814,5325,7,49.00,7,4,34,是,4495,549,项目成功结束后30天内,黑龙江 哈尔滨,已经结束
出版,453682,【南方周末】孩子，愿你的前路不再孤独,已成功,400000,454923,4845,5,5.00,16,12,462,否,980,1145,项目成功结束后30天内,广东 广州,已经结束
出版,131020,山那边的西藏——为西藏边坝县大骨节病儿童筹集大米,已成功,200000,293644,4792,6,10.00,14,19,241,是,583,2767,项目成功结束后立即发货,北京,已经结束
出版,345550,"路遇《陌生人》-她说,这世界美到想要长命百岁",已成功,98000,231252,3866,5,9.00,6,25,550,否,621,1696,项目成功结束后30天内,北京,已经结束
出版,121135,来和童书妈妈一起订制超艺术化的彩窗积木,已成功,188000,756782,3239,4,188.00,12,3,161,否,10,2949,项目成功结束后20天内,北京,已经结束
出版,144289,设计,已成功,100000,288220,3036,NOTFOUND,NOTFOUND,0,5,1086,否,33,NOTFOUND,NOTFOUND,上海,已经结束
出版,406819,你是人间四月天：定制专属于你的林徽因选集套装,已成功,50000,226153,3021,4,5.00,3,13,520,否,107,123,项目成功结束后立即发货,福建 厦门,已经结束
出版,183502,设计,已成功,100000,255700,2706,NOTFOUND,NOTFOUND,0,4,371,否,27,NOTFOUND,NOTFOUND,上海,已经结束
出版,551704,《乌蒙山里的桃花源》：来自石门坎大山深处的童真,已成功,100000,175049,2671,5,5.00,5,9,311,是,540,398,项目成功结束后45天内,北京,已经结束
出版,122950,《高铁风云录》第一本全面介绍高铁发展历史的图书,已成功,30000,141829,2189,13,5.00,6,13,166,否,11,318,项目成功结束后90天内,北京,已经结束
出版,567142,历史不是任人打扮的小姑娘，《大国速度》廓清历史迷雾，探究高铁崛起之路,已成功,50000,154161,2116,11,49.00,6,7,402,否,69,459,项目成功结束后80天内,北京,已经结束
出版,337336,汉服归来,已成功,130000,146700,1965,2,50.00,16,10,595,否,114,1780,项目成功结束后120天内,北京,已经结束
出版,81112,超悦读丛书《梦控师》,已成功,40000,102390,1913,7,30.00,9,4,746,否,18,1691,项目成功结束后30天内,北京,已经结束
出版,555967,教育者钱志龙公益出版：读博士演讲稿，听校长讲故事,已成功,300000,355405,1828,6,40.00,11,2,218,是,298,150,项目成功结束后7天内,北京,已经结束
出版,488599,《不丹十日》 媒体人曹景行为你“私定”不丹神秘包裹,已成功,120000,121185,1707,3,3.00,28,3,35,否,12,982,项目成功结束后60天内,北京,已经结束
出版,10887,众筹属于你的“生命可能“，一本古典为你定制的书,已成功,300000,434241,1613,3,99.00,5,3,802,是,0,1000,项目成功结束后30天内,北京,已经结束
出版,13930,《那些年我们一起信过的谣言》百度知道出品 大数据辟谣神器,已成功,50000,65631,1610,7,5.00,14,3,870,否,0,5,项目成功结束后7天内,北京,已经结束
出版,273307,吴晓波频道“经济学&管理学经典重译计划 ”之 重译《国富论》,已成功,200000,223118,1588,2,88.00,3,12,365,否,18,950,项目成功结束后240天内,浙江 杭州,已经结束
出版,163396,乡村故事之夜，温暖留守童年,已成功,200000,466922,1576,4,10.00,15,17,64,是,92,399,项目成功结束后30天内,北京,已经结束
出版,17442,官方原著授权，陈柏言三年倾情创作《后宫·甄嬛传》画集 ,已成功,50000,193877,1570,5,5.00,7,3,814,否,0,497,项目成功结束后60天内,北京,已经结束
出版,83422,珠江经济广播电台《风云再汇》节目众筹一年节目制作费用,已成功,880000,888976,1409,10,88.00,8,8,100,否,45,875,项目成功结束后30天内,广东 广州,已经结束
出版,491314,《互联网∑》，得“合”者得天下,已成功,100000,105699,1408,5,1.00,2,5,47,否,39,50,项目成功结束后15天内,北京,已经结束
出版,187351,一本书，教你如何从学术角度完成第一手资料的实地收集,已成功,60000,64578,1400,7,5.00,3,8,179,否,10,438,项目成功结束后立即发货,北京,已经结束
出版,357805,小众崛起——互联网革命新时代的创业投资指南,已成功,100000,273634,1394,5,46.00,6,12,68,否,200,902,项目成功结束后立即发货,北京,已经结束
出版,129961,【《独立日》开篇众筹】三联与魏小河为你定制一本书！,已成功,30000,120832,1341,5,58.00,19,9,311,否,18,408,项目成功结束后15天内,北京,已经结束
出版,198076,为什么你需要一本二十四节气手帐——熊亮明·暗极致代表作众筹,已成功,15000,104501,1285,8,2.00,22,10,134,是,3,802,项目成功结束后15天内,北京,已经结束
出版,149257,为留守儿童和流动儿童众筹一本防性侵绘本,已成功,40000,40038,1181,6,1.00,12,6,74,是,46,254,项目成功结束后立即发货,江苏 无锡,已经结束
出版,37669,一个底层打工诗人的遗著：许立志诗集《新的一天》,已成功,60000,136850,1140,7,2.00,2,4,135,否,1,150,项目成功结束后立即发货,浙江 杭州,已经结束
出版,649827,《用雪捂热一个词》周碧华著      单价￥39元,众筹中,39000,44315,1067,0,39.00,4,0,32,否,41,NOTFOUND,项目成功结束后90天内,博客中国 出版,19天
出版,3543,1元钱为板砖大余《O2O进化论》“筹板砖”,已成功,1000,1007,1007,0,1.00,2,3,7,否,0,1007,项目成功结束后立即发货,北京,已经结束
出版,304885,在芈月生活的时代当一个吃货到底有多难,已成功,20000,42636,997,10,2.00,6,9,247,否,18,377,项目成功结束后25天内,陕西 西安,已经结束
出版,650574,《思想起》叶匡政著          单价￥39元,众筹中,39000,40438,981,0,39.00,4,0,89,否,105,NOTFOUND,项目成功结束后90天内,博客中国 出版,19天
出版,532621,就这么简单，英语好是自找的,已成功,20000,53831,963,5,5.00,5,2,42,否,19,444,项目成功结束后立即发货,广东 深圳,已经结束
出版,1939,清华金融评论——每个人都看得起的顶级财经杂志,已成功,50000,85209,953,6,0.00,7,3,147,否,0,29,项目成功结束后30天内,北京,已经结束
出版,321394,《新电商：做剩下的3%》：揭开电商面纱 揭示电商现状 剖析电商生态,已成功,30000,131534,933,4,50.00,4,11,111,否,43,753,项目成功结束后20天内,北京,已经结束
出版,48451,我的钱——零基础互联网金融的理财课,已成功,30000,41330,930,5,1.00,7,3,167,否,3,200,项目成功结束后30天内,北京,已经结束
出版,62773,来一路听天下，支持99元——你就是《盗墓笔记》广播剧出品人,已成功,100000,104034,879,10,5.00,16,6,190,否,10,578,项目成功结束后5天内,北京,已经结束
出版,969,乐嘉新书《本色》：活出真实的自己,已成功,50000,52662,873,1,38.00,4,3,229,否,0,423,项目成功结束后10天内,北京,已经结束
出版,158188,《我的爷爷张自明》——豆瓣最老女文青、张自忠将军侄孙女出书为抗战老兵筹款,已成功,45000,45077,838,5,1.00,9,8,12,否,6,30,项目成功结束后30天内,北京,已经结束
出版,419575,《说好的一辈子——执子之爪，捡屎到老》：让更多的狗狗有一个温暖的家,已成功,50000,50089,837,6,5.00,17,13,150,否,253,87,项目成功结束后立即发货,广东 广州,已经结束
出版,301939,要有爱孩子的意愿，更要有爱孩子的能力！父母的成长决定孩子的幸福,已成功,80000,81817,834,3,10.00,4,21,80,否,123,409,项目成功结束后150天内,福建 厦门,已经结束
出版,613957,揭财经报道黑幕，还原资本江湖 | 辣笔小球处女作全新珍藏版,已成功,50000,120764,825,3,39.00,7,3,121,否,10,656,项目成功结束后60天内,浙江 杭州,已经结束
出版,309931,《安心妈妈手边书》来了！解惑新手妈妈都在问的育儿难题,已成功,5000,24456,792,4,1.00,5,10,71,否,10,509,项目成功结束后10天内,山东 济南,已经结束
出版,44668,一本有温度的书——《小强来了》之暖冬行动,已成功,30000,69347,778,4,40.00,11,3,55,否,0,525,项目成功结束后20天内,河北 石家庄,已经结束
出版,351340,“我型我塑”首款众筹《西方近现代雕塑百家》精品辑,已成功,35500,81668,775,4,5.00,27,14,187,否,32,646,项目成功结束后立即发货,湖北 武汉,已经结束
出版,176077,行业报告《商业地产VIEW》∣做商业地产有态度有观点的深度读物,已成功,20000,20093,762,2,1.00,8,7,17,否,7,83,项目成功结束后30天内,上海,已经结束
出版,170272,不让别人说我们和孩子没家教——《素质的革命：行为举止文明得体读本》,已成功,20000,20050,760,3,10.00,9,4,12,否,1,404,项目成功结束后10天内,北京,已经结束
出版,499330,《随风不逝·张国荣》，60年，当我重温你，所有冷冰的暖了,已成功,13000,48176,744,4,2.00,3,14,98,否,48,298,项目成功结束后85天内,福建 福州,已经结束
出版,127483,《邻居的耳朵》—理想不灭，文艺不死。还有人相信精神的力量吗？,已成功,10000,47030,742,3,39.00,21,5,175,否,20,561,项目成功结束后立即发货,上海,已经结束
出版,217006,《罪与赎》孤儿北漂却卷入凶案，我们将携手为你带来一个真实的人生故事！,已成功,65000,71534,739,8,68.00,4,12,107,否,90,560,项目成功结束后90天内,北京,已经结束
出版,132613,古典诗词里的爱情《人间情话》邀您做出品人,已成功,20000,20180,715,6,50.00,4,6,236,否,582,83,项目成功结束后30天内,河北 秦皇岛,已经结束
出版,35110,助大山里的孩子看世界——浓情母女以最具力量的支教旅行诠释世间最好的爱。,已成功,5000,71674,714,6,32.00,21,3,45,否,1,354,项目成功结束后30天内,北京,已经结束
出版,180673,韩火火携80位明星好友让你穿得更有范儿,已成功,30000,36967,713,4,2.00,20,5,152,否,3,322,项目成功结束后30天内,北京,已经结束
出版,448618,一本书，带你发现“独角兽”公司,已成功,80000,140717,707,4,39.00,2,5,50,否,30,575,项目成功结束后10天内,北京,已经结束
出版,189214,即刻奔跑，送给时尚爱跑者的最好礼物！,已成功,50000,63200,679,7,1.00,19,9,84,否,1,224,项目成功结束后30天内,北京,已经结束
出版,475630,“六个口袋”亲子阅读计划——1000个家庭招募中,已成功,200000,478691,662,4,5.00,10,7,47,是,6,166,项目成功结束后30天内,北京,已经结束
出版,63487,带你装逼带你飞——《风口上的猪：一本书看懂互联网金融》,已成功,20000,31042,653,6,28.00,3,3,133,否,1,559,项目成功结束后立即发货,北京,已经结束
出版,324277,《汽车之友》30周年特刊——遇，见未来,已成功,50000,56328,608,3,5.00,14,12,48,否,13,371,项目成功结束后30天内,北京,已经结束
出版,48598,和我一起，看见未来——余晨对话世界顶尖互联网引领者,已成功,300000,301857,570,6,59.00,11,4,31,否,4,317,项目成功结束后90天内,北京,已经结束
出版,137071,MY十点档《大时代 小情怀》| 一档节目和它承载的情怀,已成功,50000,54712,566,2,42.00,17,6,94,是,12,496,项目成功结束后60天内,浙江 杭州,已经结束
出版,450067,谁说的“高抛低吸”？说这话的人是不负责任的预言家,已成功,30000,37370,564,4,53.00,1,4,54,否,14,512,项目成功结束后10天内,北京,已经结束
出版,130687,与黎阳一起倾听来自灵魂的声音。《黎阳诗集》诚邀您作出品人！,已成功,30000,66666,562,9,9.00,20,7,84,否,73,304,项目成功结束后5天内,北京,已经结束
出版,473464,《户口本》—— 贫瘠的时代，折射人性的灿烂,已成功,30000,38182,559,8,2.00,8,5,51,否,31,211,项目成功结束后30天内,广东 广州,已经结束
出版,448630,《家庭教育·化解危机》：父母成长及自我测评的书籍！,已成功,100000,100104,548,4,10.00,11,0,60,否,90,116,项目成功结束后立即发货,福建 厦门,已经结束
出版,351535,中原集团内部刊物《2015中原红盘启示录》（“金钥匙书刊第三辑”）,已成功,60000,62214,547,3,1.00,21,10,32,否,7,104,项目成功结束后10天内,广东 深圳,已经结束
出版,150046,跟印度瑜伽大师萨古鲁一起发现《幸福的三个真相》,已成功,70000,71935,547,5,39.00,4,4,207,是,13,280,项目成功结束后60天内,江苏 苏州,已经结束
出版,389188,《海绵城市 · 工程设计图集》,已成功,10000,49786,537,2,79.00,9,10,38,否,5,522,项目成功结束后立即发货,上海,已经结束
出版,401380,《管理沟通——复杂职场的巧技能》好书沟通好人！,已成功,60000,73033,532,3,42.00,2,13,78,否,51,433,项目成功结束后立即发货,北京,已经结束
出版,629055,做孩子的生命合伙人，用美和艺术丰盈彼此的人生,已成功,29888,45056,528,3,48.00,12,11,78,否,42,374,项目成功结束后15天内,NOTFOUND,已经结束
出版,532663,《奔跑吧，克瑞》，无限的忠诚与信任，是世界上最幸福的事,已成功,30000,30181,521,4,5.00,4,0,48,否,156,126,项目成功结束后30天内,北京,已经结束
出版,21411,梦想女神王艺洁，一元梦想许愿池,已成功,100000,118086,519,6,1.00,13,3,57,是,0,177,项目成功结束后30天内,北京,已经结束
出版,110056,《纸牌大厦：卢瑟经济学之21世纪金融危机》,已成功,20000,39516,514,6,50.00,3,4,27,否,5,363,项目成功结束后立即发货,北京,已经结束
出版,58003,最接地气、最实操、最落地的微商操作手册——《微商赚钱实操手册》新书众筹,已成功,30000,49512,512,5,39.00,8,3,64,否,5,489,项目成功结束后30天内,北京,已经结束
出版,300928,《金色的梦》——陈永镇的艺术世界,已成功,80000,86693.01,510,3,3.00,10,13,61,否,16,350,项目成功结束后20天内,安徽 合肥,已经结束
出版,218644,《一盒巧克力》——九岁女孩蔡亦青的首部长篇小说,已成功,50000,55221,504,7,1.00,6,8,29,是,9,15,项目成功结束后立即发货,北京,已经结束
出版,133561,《张宝旬妙招：按压手穴祛百病》—教你做自己的家庭医生,已成功,35000,36942,496,8,1.00,8,4,37,否,7,123,项目成功结束后立即发货,北京,已经结束
出版,263110,C酱酱和蛙桑桑超有爱虐单身狗日常！《41厘米的超幸福》番外篇,已成功,10000,17836,495,8,1.00,11,9,135,是,13,212,项目成功结束后30天内,上海,已经结束
出版,318871,我用六年半写一本关于潮州影像史的书,已成功,40000,40358,494,5,3.00,5,9,71,否,29,213,项目成功结束后20天内,广东 潮州,已经结束
出版,589081,那些看不见的故事，决定这座看得见的城市,已成功,50000,54294,485,4,3.00,6,9,85,否,43,212,项目成功结束后70天内,福建 福州,已经结束
出版,503524,看了这些，发现最美的手艺还是在中国,已成功,30000,103036,484,5,88.00,24,5,23,否,21,433,项目成功结束后30天内,上海,已经结束
出版,295570,独立日归来：三联与木卫二为你搭一间沙发影院，筹一场首映式,已成功,30000,33033,466,5,5.00,14,11,141,否,21,264,项目成功结束后20天内,北京,已经结束
出版,301387,与我一起采访“百国”驻华大使，聊聊世界与中国,已成功,120000,121588,458,5,1.00,4,31,134,是,6,213,项目成功结束后45天内,北京,已经结束
出版,490672,留不住时光，但却有撕的快感,已成功,30000,31443,454,8,2.00,45,12,58,否,37,193,项目成功结束后7天内,北京,已经结束
出版,376810,金融诈骗肆虐，投资血本无归，还记得那些年我们被骗走的钱吗？,已成功,20000,25244,450,5,1.00,1,14,94,是,6,310,项目成功结束后30天内,北京,已经结束
出版,9178,《首席医官》传递正能量,已成功,30000,30015,446,5,1.00,4,3,11,否,0,10,项目成功结束后15天内,北京,已经结束
出版,170035,《追火车》带上一本书， 去发现（世界的）美丽,已成功,30000,37671,444,5,5.00,11,12,165,是,2,63,项目成功结束后30天内,北京,已经结束
出版,571195,十年创作《落湘南》，一部比“挪威的森林”更早熟的纯净小说,已成功,30000,30001,444,5,9.00,12,0,25,是,306,85,项目成功结束后60天内,北京,已经结束
出版,648381,信公咨询 | 上市公司典型违规案例剖析,众筹中,15000,24819,438,2,29.00,6,2,39,否,6,NOTFOUND,项目成功结束后20天内,NOTFOUND,9天
出版,14924,【男神求带走】杰然不同，情歌之王——张杰！,已成功,8000,13509,436,2,28.00,3,3,63,否,0,417,项目成功结束后25天内,北京,已经结束
出版,634431,《格瑞特的梦》，在孩子们的心田上播种善良，爱不全然是梦,众筹中,20000,11646,435,6,2.00,10,1,26,否,87,NOTFOUND,项目成功结束后30天内,北京,26天
出版,234670,北大才女诗人众筹个人诗集《边缘》出版项目,已成功,30000,30220,426,2,20.00,3,21,153,否,40,121,项目成功结束后立即发货,北京,已经结束
出版,435199,《悄然飘落》长篇小说出版,已成功,28000,28100,425,6,35.00,0,4,10,否,20,310,项目成功结束后60天内,北京,已经结束
出版,179113,30年100000张照片打造一部《故城》,已成功,200000,213605,422,4,15.00,12,6,112,否,39,142,项目成功结束后10天内,重庆,已经结束
出版,253279,颠覆式招生——千里马，快到我的碗里来,已成功,100000,100401,419,2,100.00,4,12,75,否,27,349,项目成功结束后立即发货,北京,已经结束
出版,638250,《知识工程2.0》是解决中国企业知识管理困局的新方案！,众筹中,40000,54747,408,6,5.00,2,2,21,否,6,NOTFOUND,项目成功结束后90天内,北京,10天
出版,596503,你不理财，财不理你,已成功,30000,30016,405,4,42.00,5,0,16,否,4,382,项目成功结束后10天内,浙江 杭州,已经结束
出版,613888,2017，如何做一个性感的铲屎官！,已成功,20000,42905,404,4,1.00,13,0,9,是,4,7,项目成功结束后3天内,北京,已经结束
出版,377338,《鱼在海的眼睛里停留》旅行爱情诗集---小岛的90后出书梦,已成功,30000,37083,404,6,9.00,10,13,75,是,73,171,项目成功结束后60天内,重庆,已经结束
出版,168778,《赵迎光说韩都衣舍》：了解中国最有情怀的草根网商,已成功,30000,60756,403,5,1.00,7,4,48,否,4,17,项目成功结束后15天内,河北 廊坊,已经结束
出版,362731,一段渴望带上珠峰的爱情：《手葵：在无数个世界与你相遇》,已成功,10000,26767,402,8,1.00,9,8,41,否,26,105,项目成功结束后30天内,上海,已经结束
出版,634683,《21世纪学生英文报》中高考特辑：升学考试神助攻！,众筹中,5000,23292,402,3,50.00,7,0,43,否,11,NOTFOUND,项目成功结束后立即发货,北京,23天
出版,533719,用极致的互联网思维引爆目标用户群，玩转“电商社群爆品”,已成功,66666,70019,401,11,1.00,7,1,45,否,7,72,项目成功结束后10天内,北京,已经结束
出版,501121,你选择的《世界和平饮食》正在为地球带来希望和欢庆！,已成功,30000,32831,396,5,8.00,5,3,33,否,122,20,项目成功结束后30天内,北京,已经结束
出版,416620,这个曾经的传销亲历者用文字将谎言与罪恶驱赶，为你揭开惊天骗局,已成功,50000,50231,396,4,48.00,8,16,37,否,151,88,项目成功结束后90天内,甘肃 天水,已经结束
出版,438046,人类史上最惨烈的故事，他们的忍耐与抗争在西方看来简直难以置信,已成功,30000,37734,394,8,5.00,8,5,62,是,33,134,项目成功结束后45天内,重庆,已经结束
出版,62737,《千里》全球首部旅行体验和众人起笔完成的书籍,已成功,100000,100888,392,7,1.00,7,3,7,否,41,48,项目成功结束后立即发货,山西 太原,已经结束
出版,6935,《那么成功为什么》纪念版 作家苏乞儿教你最直接的成功方法,已成功,20000,62040,390,4,30.00,2,3,147,否,0,129,项目成功结束后40天内,山东 东营,已经结束
出版,461311,三十岁，为自己做一本“告别”的书,已成功,30000,30926,388,5,1.00,10,4,29,否,82,18,项目成功结束后15天内,海南 海口,已经结束
出版,181051,《中国绘本阅读地图》——一灯之弱，照亮阅读天空,已成功,20000,47153,386,5,28.00,4,9,65,否,11,243,项目成功结束后30天内,北京,已经结束
出版,460387,一本颠覆传统角色，影响药师一生的经典著作,已成功,15000,39555,386,5,5.00,3,4,30,否,34,212,项目成功结束后立即发货,北京,已经结束
出版,632649,良老师四川省教师公招教材《教育公共基础·考点全解》,已成功,20000,20986,385,3,48.00,4,4,16,否,21,200,项目成功结束后10天内,NOTFOUND,已经结束
出版,16216,土摩托告诉你一个真实的转基因,已成功,30000,33953,380,4,3.00,2,3,59,否,0,21,项目成功结束后10天内,北京,已经结束
出版,655254,守住小人书，只把这浮生描绘——贺友直五绘本《小二黑结婚》首度集结出版,众筹中,50000,87863,380,3,1.00,12,2,67,是,17,150,项目成功结束后15天内,NOTFOUND,19天
出版,202411,20年磨一剑，《公关形象与礼仪修养》（上下册）众筹,已成功,60000,89305,380,6,40.00,5,4,99,否,9,169,项目成功结束后立即发货,重庆,已经结束
出版,411979,《法律读库》春季号，法治新媒体的别样体验,已成功,50000,70569,375,4,70.00,10,8,58,否,51,66,项目成功结束后21天内,北京,已经结束
出版,34804,《3生万物——3D打印：第三次工业革命的引擎》——拥抱3D打印时代！,已成功,60000,65986,374,7,38.00,28,3,52,否,4,260,项目成功结束后30天内,北京,已经结束
出版,205783,绝密呈现【珠峰北坡】冲顶纪实——击破铁幕，全球首发，登顶英雄亲历口述，携力共献！,已成功,50000,50080,371,6,5.00,6,9,32,是,129,72,项目成功结束后10天内,北京,已经结束
出版,510241,6年、7大洲、65个国家、北极到南极，他走出了一种生活方式,已成功,20000,22097,371,5,39.00,7,8,92,是,14,288,项目成功结束后7天内,北京,已经结束
出版,368146,茶路无尽：体味茶山游学，详解天下名茶,已成功,20000,31711,370,6,8.00,23,9,91,否,5,31,项目成功结束后30天内,北京,已经结束
出版,116119,《中国信托行业研究报告（2015）》筹起来约起来,已成功,30000,34630,369,2,58.00,17,4,9,否,71,237,项目成功结束后90天内,浙江 杭州,已经结束
出版,353089,"美女记者,个性诗人,陌上女主李静邀您私享诗文集《我问伶仃》",已成功,18000,18045,366,3,39.00,18,21,69,否,221,107,项目成功结束后立即发货,四川 乐山,已经结束
出版,45571,《花草物语：催情植物传奇》：超值新年暖心大礼包,已成功,30000,49642,363,9,78.00,7,3,20,否,0,135,项目成功结束后20天内,北京,已经结束
出版,151168,《和二木一起玩多肉II》红色预警中。。。多肉旋风再次来袭！,已成功,20000,28110,362,5,49.00,26,5,215,是,4,243,项目成功结束后30天内,北京,已经结束
出版,586666,《中国碳排放权交易实务》：一部真正实用的碳交易入门书、案例书、工具书,已成功,10000,49275,361,4,5.00,3,6,31,否,49,217,项目成功结束后立即发货,北京,已经结束
出版,650538,《一只奔跑的神兽》王竞成著      单价￥39元,众筹中,39000,16501,361,0,39.00,4,0,6,否,14,NOTFOUND,项目成功结束后90天内,博客中国 出版,19天
出版,161266,我们超想快点来中国！《你今天真好看》美国暖萌漫画家Liz Climo首部作品集,已成功,10000,15425,359,5,1.00,21,4,91,否,2,100,项目成功结束后30天内,上海,已经结束
出版,12780,《草木多闻》——读者品牌首款定制手绘笔记本,已成功,30000,42642,357,5,36.00,13,3,285,否,0,137,项目成功结束后20天内,甘肃 兰州,已经结束
出版,137125,餐饮O2O第一书《“互联网＋”风口：餐饮O2O你也学得会》众筹,已成功,20000,24864,355,2,49.00,4,4,19,否,6,334,项目成功结束后60天内,北京,已经结束
出版,40024,《沿途的向阳花》：骑行万里去见那个带我穿越黑暗的泰国女孩,已成功,30000,32084,355,6,49.00,19,5,82,否,19,192,项目成功结束后30天内,安徽 合肥,已经结束
出版,4683,首部众筹玩法教科书-《互联网金融第三浪：众筹崛起》,已成功,20000,21491,351,4,1.00,5,3,130,是,0,71,项目成功结束后3天内,北京,已经结束
出版,447139,《重生——中国企业的战略转型》听施炜老师深度剖析战略,已成功,30000,30062,348,4,55.00,2,3,0,否,4,326,项目成功结束后7天内,北京,已经结束
出版,46411,《开车是一场修行：安全驾驶的智慧》新书众筹,已成功,20000,20789,344,5,39.00,11,3,32,否,1,313,项目成功结束后30天内,北京,已经结束
出版,250156,《看得见的文明史》——帮助孩子看懂真正的文明,已成功,500,14801,342,3,1.00,1,8,62,否,8,231,项目成功结束后30天内,北京,已经结束
出版,434818,什么？原来呼吸是可以训练的！吸空气都会瘦/呼吸生命禅,已成功,100000,109586,337,4,88.00,7,4,21,否,59,204,项目成功结束后立即发货,广东 广州,已经结束
出版,410776,家庭情商首倡者林林老师，与您分享一家人“可读、可听、可绘、可互动”的情商读本,已成功,30000,30907,337,4,5.00,7,8,44,否,23,59,项目成功结束后20天内,安徽 合肥,已经结束
出版,130975,美女作家紫依携散文诗集《如莲女子》与您共度美好时光,已成功,5000,7657,336,7,59.00,3,9,69,否,259,53,项目成功结束后30天内,河北 秦皇岛,已经结束
出版,22036,秋天来了，围炉喝茶可好？《茶叶江山》1100份茶礼众筹结缘,已成功,60000,81579.40,336,5,39.80,6,3,33,否,0,268,项目成功结束后45天内,北京,已经结束
出版,463720,做值得尊敬的父母，给孩子充满爱且有力量的陪伴！,已成功,10000,18166,335,4,5.00,3,5,40,否,145,117,项目成功结束后6天内,北京,已经结束
出版,535558,谓师德：爱为魂，学为师，身为正,已成功,36000,45599,335,5,1.00,6,0,14,否,37,215,项目成功结束后立即发货,陕西 西安,已经结束
出版,383872,你的手 会说话——最美的手语教学书,已成功,15000,16149,333,3,2.00,13,23,77,是,46,112,项目成功结束后30天内,北京,已经结束
出版,158254,十六季光年，这段最美时光的蜕变。,已成功,28000,28090,333,6,10.00,10,13,27,否,58,90,项目成功结束后90天内,福建 泉州,已经结束
出版,439678,跑步6年，我想出版一本书，送给他一件特别的礼物,已成功,20000,20086,332,5,2.00,14,5,40,是,101,116,项目成功结束后30天内,江苏 南京,已经结束
出版,157810,《沙画艺术——让你7天成为沙画师》为您揭开沙画的神秘面纱,已成功,20000,24140,330,10,5.00,5,7,47,是,7,68,项目成功结束后45天内,黑龙江 哈尔滨,已经结束
出版,290431,《蒙牛系创业传奇》,已成功,30000,30337,327,6,1.00,6,9,68,否,8,50,项目成功结束后立即发货,内蒙古 呼和浩特,已经结束
出版,10830,《玩出来的产业——王志纲谈旅游》,已成功,1000000,1271230,322,10,58.00,4,3,119,否,0,189,项目成功结束后30天内,北京,已经结束
出版,117292,出一本书，建一座教室，圆凉山贫困山区孩子读书梦,已成功,20000,20634,322,7,1.00,48,9,27,是,20,182,项目成功结束后立即发货,四川 凉山,已经结束
出版,464557,唤醒奇迹：写给还在红尘中受苦的众生 你可以更幸福,已成功,30000,37662,321,5,5.00,12,3,44,否,65,148,项目成功结束后30天内,北京,已经结束
出版,10008,超募！帮大叔爆人品！众筹新书《不要（答疑篇）》！ ,已成功,10000,24490,317,4,30.00,6,3,56,否,0,228,项目成功结束后30天内,北京,已经结束
出版,208288,丝路之殇——敦煌国宝劫难记,已成功,20000,21292,317,5,1.00,9,11,103,否,46,173,项目成功结束后30天内,陕西 西安,已经结束
出版,10864,与《单读》一起，重拾阅读的荣耀,已成功,50000,71100,315,6,50.00,15,3,215,是,0,152,项目成功结束后30天内,北京,已经结束
出版,320917,《中华经典诵读·精选版》，汪涵、仇晓邀您发声！,已成功,50400,50444,312,4,5.00,9,8,78,是,23,120,项目成功结束后60天内,湖南 长沙,已经结束
出版,381616,传奇人物董子竹：解儒释道三家之经典，参生命与宇宙之奥秘,已成功,200000,244204,310,7,58.00,10,10,51,否,74,62,项目成功结束后30天内,湖北 武汉,已经结束
出版,614245,十年微贷实战经验，写给一线信贷员的《草根信贷员工作笔记》！,已成功,30000,30831,310,7,36.00,3,11,73,否,37,230,项目成功结束后30天内,北京,已经结束
出版,18875,《冲到最后一刻》，把男神金秀贤抢到手！,已成功,10000,14028,306,1,38.00,5,3,77,否,0,226,项目成功结束后20天内,北京,已经结束
出版,456376,十年来，他遍访天下国学名师，只因觉得国学要“立足经典、守望纯粹”,已成功,100000,101728,306,3,32.00,5,25,40,否,180,89,项目成功结束后立即发货,广东 广州,已经结束
出版,157303,从一个喇嘛到流浪歌手---《空》,已成功,20000,20037,303,7,10.00,11,9,38,是,122,76,项目成功结束后立即发货,黑龙江 哈尔滨,已经结束
出版,546529,因为“她”，我已经开始期待不可思议的2017,已成功,15000,15510,295,0,52.00,12,4,26,否,19,277,项目成功结束后立即发货,海南 海口,已经结束
出版,620830,过年啦！《打灯笼》——照亮童心的中国灯笼,已成功,10000,10172,293,3,1.00,11,6,17,是,12,59,项目成功结束后立即发货,北京,已经结束
